1,NR0000157,C12,PNA449671,DNA790726,40,,,,,,,,,,
1,NR0000157,D12,PNA448842,DNA788621,40,,,,,,,,,,
1,NR0000157,E12,PNA449000,DNA788442,40,,,,,,,,,,
1,NR0000157,F12,PNA449001,DNA788443,40,,,,,,,,,,
1,NR0000157,G12,PNA448846,DNA788625,40,,,,,,,,,,
1,NR0000157,H12,PNA448841,DNA788620,40,,,,,,,,,,
1,NR0000158,A02,PNA442717,DNA788951,40,,,,,,,,,,
1,NR0000158,B02,PNA447260,DNA790476,40,,,,,,,,,,
1,NR0000158,C02,PNA447261,DNA790477,40,,,,,,,,,,
1,NR0000158,D02,PNA447262,DNA790478,40,,,,,,,,,,
1,NR0000158,E02,PNA447263,DNA790479,40,,,,,,,,,,
1,NR0000158,F02,PNA447258,DNA790474,40,,,,,,,,,,
1,NR0000158,G02,PNA447264,DNA790480,40,,,,,,,,,,
1,NR0000158,H02,PNA447265,DNA790481,40,,,,,,,,,,
1,NR0000158,A03,PNA447266,DNA790482,40,,,,,,,,,,
1,NR0000158,B03,PNA442718,DNA788952,40,,,,,,,,,,
1,NR0000158,C03,PNA447267,DNA790483,40,,,,,,,,,,
1,NR0000158,D03,PNA447268,DNA790484,40,,,,,,,,,,
1,NR0000158,E03,PNA447269,DNA790485,40,,,,,,,,,,
1,NR0000158,F03,PNA447270,DNA790486,40,,,,,,,,,,
1,NR0000158,G03,PNA447271,DNA790487,40,,,,,,,,,,
1,NR0000158,H03,PNA447272,DNA790488,40,,,,,,,,,,
1,NR0000158,A04,PNA447273,DNA790489,40,,,,,,,,,,
1,NR0000158,B04,PNA447274,DNA790490,40,,,,,,,,,,
1,NR0000158,C04,PNA447275,DNA790491,40,,,,,,,,,,
1,NR0000158,D04,PNA442719,DNA788953,40,,,,,,,,,,
1,NR0000158,E04,PNA447276,DNA790492,40,,,,,,,,,,
1,NR0000158,F04,PNA447277,DNA790493,40,,,,,,,,,,
1,NR0000158,G04,PNA447278,DNA790494,40,,,,,,,,,,
1,NR0000158,H04,PNA447279,DNA790495,40,,,,,,,,,,
1,NR0000158,A05,PNA447280,DNA790496,40,,,,,,,,,,
1,NR0000158,B05,PNA447281,DNA790497,40,,,,,,,,,,
1,NR0000158,C05,PNA447282,DNA790498,40,,,,,,,,,,
1,NR0000158,D05,PNA447283,DNA790499,40,,,,,,,,,,
1,NR0000158,E05,PNA447284,DNA790500,40,,,,,,,,,,
1,NR0000158,F05,PNA447285,DNA790501,40,,,,,,,,,,
